key,row,column,color,notes,list,sup,ver,king,scripture
Matthat,43.0,12.3,blue,,56,0,1,FALSE,
Jorim,43.9,12.3,blue,,57,0,1,FALSE,
Eliezer,44.8,12.3,blue,,58,0,1,FALSE,
Jesus2,45.7,12.3,blue,,59,0,1,FALSE,
Er,46.6,12.3,blue,,60,0,1,FALSE,
Elmadam,47.5,12.3,blue,,61,0,1,FALSE,
Cosam,48.4,12.3,blue,,62,0,1,FALSE,
Addi,49.3,12.3,blue,,63,0,1,FALSE,
Melchi,50.2,12.3,blue,,64,0,1,FALSE,
Neri,51.1,12.3,blue,,65,0,1,FALSE,
daughter_of_Neri,52.0,12.3,red,,66,0,1,FALSE,
Zerubbabel,53,14.3,blue,overlap two lineages,67,0,1,TRUE,
Rhesa,54,12.3,blue,,68,0,1,FALSE,
Joanan,55,12.3,blue,,69,15,1,FALSE,
Joda,56,12.3,blue,,70,0,1,FALSE,
Josech,57,12.3,blue,,71,0,1,FALSE,
Semein,58,12.3,blue,,72,0,1,FALSE,
Mattathias,59,12.3,blue,,73,0,1,FALSE,
Maath,60,12.3,blue,,74,0,1,FALSE,
Naggai,61,12.3,blue,,75,15,1,FALSE,
Esli,62,12.3,blue,,76,0,1,FALSE,
Nahum,63,12.3,blue,,77,0,1,FALSE,
Amos,64,12.3,blue,,78,0,1,FALSE,
Mattathias,65,12.3,blue,,79,0,1,FALSE,
Joseph3,66,12.3,blue,son of Mattathias,80,0,1,FALSE,
Jannai,67,12.3,blue,,81,0,1,FALSE,
Melchi,68,12.3,blue,,82,0,1,FALSE,
Levi,69,12.3,blue,,83,0,1,FALSE,
Matthat,70,12.3,blue,,84,0,1,FALSE,
Heli,71,12.3,blue,,85,15,1,FALSE,
Mary,72,12.3,red,Luke states Joseph here,86,0,1,FALSE,
Jesus,73,14.3,blue,*** THE PROMISED OFFSPRING ***,87,0,1,TRUE,
Solomon,34,16.3,blue,legal line w/ Joseph (Matthew),88,0,1,TRUE,
Rehoboam,35,16.3,blue,,89,0,1,TRUE,
Abijah,36,16.3,blue,,90,0,1,TRUE,
Asa,37,16.3,blue,Matt 1:8,91,0,1,TRUE,
Jehoshaphat,38,16.3,blue,,92,0,1,TRUE,
Jehoram,39,16.3,blue,,93,0,1,TRUE,
Ahaziah,40,16.3,blue,missing in Matthew,94,0,1,TRUE,
Jehoash,41,16.3,blue,missing in Matthew,95,0,1,TRUE,
Amaziah,42,16.3,blue,missing in Matthew,96,0,1,TRUE,
Uzziah_Azariah,43,16.3,blue,Matt 1:9,97,0,1,TRUE,
Jotham,44,16.3,blue,,98,0,1,TRUE,
Ahaz,45,16.3,blue,,99,0,1,TRUE,
Hezekiah,46,16.3,blue,,100,0,1,TRUE,
Manasseh2,47,16.3,blue,,101,0,1,TRUE,
Amon,48,16.3,blue,,102,0,1,TRUE,
Josiah,49,16.3,blue,,103,0,1,TRUE,
Eliakim_Jehoiakim,50,16.3,blue,,104,0,1,TRUE,
Jeconiah_Jehoiachin,51,16.3,blue,,105,0,1,TRUE,
Shealtiel,52,15,blue,,106,0,1,FALSE,
Pedaiah,52,17.6,blue,"missing in Matthew, Z in 55",107,0,1,FALSE,
Abiud,54,16.3,blue,after Zerubbabel (Sheshbazzar),108,0,1,FALSE,
Eliakim,56,16.3,blue,,109,0,1,FALSE,
Azor,58,16.3,blue,,110,0,1,FALSE,
Zadok,60,16.3,blue,,111,0,1,FALSE,
Achim,62,16.3,blue,,112,0,1,FALSE,
Eliud,64,16.3,blue,,113,0,1,FALSE,
Eleazar,66,16.3,blue,,114,0,1,FALSE,
Matthan,68,16.3,blue,,115,0,1,FALSE,
Jacob,70,16.3,blue,,116,0,1,FALSE,
Joseph4,72,16.3,blue,"son of Jacob, stepfather of Jesus",117,0,1,FALSE,
Eve,1,16.3,red,,118,0,1,FALSE,
Sarah,20,17,red,,119,0,1,FALSE,
Rebekah,21,17,red,,120,0,1,FALSE,
Leah,22,8.9,red,Leah (8.9),121,0,1,FALSE,
Zilpah,22,17,red,Zilpah (17.0),122,0,1,FALSE,
Bilhah,22,20.6,red,Bilhah (20.6),123,0,1,FALSE,
Rahel,22,24.2,red,Rahel (24.2),124,0,1,FALSE,
Bathsheba,33,16,red,,125,0,1,FALSE,
Abel,2,16.3,blue,,126,0,1,FALSE,
Cain,2,18.3,blue,,127,0,1,FALSE,
Asenath,23,26.9,red,,128,0,1,FALSE,
Manasseh,24,25.1,blue,,129,0,1,FALSE,
Ephraim,24,26.9,blue,,130,0,1,FALSE,
Tamar,23,12.5,red,,132,0,3,FALSE,Genesis 38:6
Naamah,34,19.3,red,"wife of Solomon, Ammonitess",133,0,3,FALSE,1 Kings 14:21
Maacah,35,19.3,red,"wife of Rehoboam, granddaughter of Abishalom",134,0,3,FALSE,1 Kings 15:2
Azubah,37,19.3,red,wife of Asa,,0,3,FALSE,
Athaliah,39,19.3,red,wife of Jehoram,,0,3,FALSE,
Zibiah,40,19.3,red,wife of Ahaziah,,0,3,FALSE,
Jehoaddan_Jehoaddin,41,19.3,red,wife of Jehoash,,0,3,FALSE,
Jecoliah,42,19.3,red,wife of Amaziah,,0,3,FALSE,
Jerusha_Jerushah,43,19.3,red,wife of Uzziah_Azariah,,0,3,FALSE,
Abi_Abijah,45,19.3,red,wife of Ahaz,,0,3,FALSE,
Hephzinah,46,19.3,red,wife of Hezekiah,131,0,2,FALSE,2 Kings 21:1
Meshullemeth,47,19.3,red,wife of Manasseh2,,0,3,FALSE,
Jedidah,48,19.3,red,wife of Amon,,0,3,FALSE,
Hamutal,49,19.3,red,wife of Josiah,,0,3,FALSE,
Nehushta,50,19.3,red,wife of Eliakim_Jehoiakim,,0,3,FALSE,
